t_s,calib_sys,calib_gyro,calib_accel,calib_mag,heading,roll,pitch,ax,ay,az
16.152,0,0,0,0,358.69,-1.62,-0.88,-0.08,-0.43,-0.26
16.267,0,0,0,0,358.81,-1.62,-1.75,-0.08,-0.58,-0.24
16.382,0,0,0,0,358.75,-1.81,-1.44,-0.01,-0.5,-0.25
16.496,0,0,0,0,358.81,-1.69,-1.69,-0.04,-0.56,-0.25
16.610,0,0,0,0,358.81,-1.56,-1.75,-0.11,-0.59,-0.25
16.726,0,0,0,0,358.88,-1.5,-1.25,-0.09,-0.48,-0.27
16.841,0,0,0,0,359.06,-1.88,-2.0,-0.04,-0.62,-0.23
16.955,0,0,0,0,358.81,-1.81,-1.69,-0.04,-0.58,-0.23
17.071,0,0,0,0,358.5,-1.69,-0.81,-0.08,-0.43,-0.26
17.185,0,0,0,0,358.44,-1.56,-0.69,-0.07,-0.42,-0.26
17.300,0,0,0,0,358.25,-1.44,-1.75,-0.1,-0.57,-0.25
17.413,0,0,0,0,358.31,-1.56,0.62,-0.07,-0.18,-0.25
17.530,0,0,0,0,358.44,-1.56,0.0,-0.07,-0.28,-0.27
17.645,0,0,0,0,358.38,-1.5,-0.5,-0.07,-0.37,-0.23
17.759,0,0,0,0,358.56,-1.56,0.12,-0.08,-0.29,-0.25
17.875,0,0,0,0,358.62,-1.5,0.75,-0.07,-0.19,-0.25
17.989,0,0,0,0,358.44,-1.56,1.31,-0.03,-0.07,-0.25
18.103,0,0,0,0,358.38,-1.62,0.69,-0.07,-0.17,-0.25
18.217,0,0,0,0,358.38,-1.56,0.31,-0.04,-0.29,-0.26
18.333,0,0,0,0,358.44,-1.5,0.0,-0.06,-0.3,-0.25
18.449,0,0,0,0,358.31,-1.38,-1.12,-0.11,-0.47,-0.24
18.563,0,0,0,0,358.38,-1.31,-0.56,-0.09,-0.41,-0.24
18.679,0,0,0,0,358.5,-1.56,0.56,-0.04,-0.2,-0.25
18.793,0,0,0,0,358.62,-1.31,-0.81,-0.11,-0.45,-0.25
18.907,0,0,0,0,358.56,-1.44,-1.75,-0.08,-0.58,-0.24
19.021,0,0,0,0,358.56,-1.5,-1.62,-0.07,-0.66,-0.25
19.137,0,0,0,0,358.5,-1.44,-1.25,-0.07,-0.51,-0.24
19.253,0,0,0,0,358.56,-1.56,-1.69,-0.06,-0.59,-0.25
19.367,0,0,0,0,358.44,-1.56,-0.75,-0.06,-0.43,-0.25
19.483,0,0,0,0,358.5,-1.44,-1.19,-0.11,-0.52,-0.25
19.597,0,0,0,0,358.38,-1.31,-1.31,-0.1,-0.51,-0.25
19.711,0,0,0,0,358.38,-1.06,-0.94,-0.13,-0.46,-0.25
19.825,0,0,0,0,358.38,-1.0,0.25,-0.17,-0.22,-0.23
19.941,0,0,0,0,358.44,-1.06,0.62,-0.16,-0.2,-0.28
20.057,0,0,0,0,358.31,-1.0,-0.62,-0.17,-0.39,-0.25
20.171,0,0,0,0,358.31,-1.06,-0.44,-0.13,-0.38,-0.26
20.287,0,0,0,0,358.25,-1.06,-0.69,-0.15,-0.42,-0.25
20.401,0,0,0,0,358.19,-1.12,-1.19,-0.13,-0.52,-0.23
20.515,0,0,0,0,358.19,-1.25,0.12,-0.13,-0.27,-0.25
20.629,0,0,0,0,358.12,-1.31,-0.69,-0.11,-0.27,-0.25
20.744,0,0,0,0,358.19,-1.38,0.94,-0.08,-0.13,-0.25
20.861,0,0,0,0,358.25,-1.25,-0.06,-0.13,-0.31,-0.25
20.975,0,0,0,0,358.19,-1.38,-0.88,-0.08,-0.44,-0.24
21.091,0,0,0,0,358.5,-1.44,-1.44,-0.06,-0.54,-0.23
21.205,0,0,0,0,358.44,-1.31,-0.06,-0.12,-0.31,-0.26
